label,total_days,value,actual,measure,threshold
1983-1987,"1,826",503,28%,maximum,105°F
1988-1992,"1,827",554,30%,maximum,105°F
1993-1997,"1,826",506,28%,maximum,105°F
1998-2002,"1,826",540,30%,maximum,105°F
2003-2007,"1,826",480,26%,maximum,105°F
2008-2012,"1,827",538,29%,maximum,105°F
2013-2017,"1,826",537,29%,maximum,105°F
2018-2022,"1,826",587,32%,maximum,105°F
