label,total_days,value,actual,measure,threshold
1983-1987,"1,826",54,3%,mean,90°F
1988-1992,"1,827",41,2%,mean,90°F
1993-1997,"1,826",54,3%,mean,90°F
1998-2002,"1,826",93,5%,mean,90°F
2003-2007,"1,826",56,3%,mean,90°F
2008-2012,"1,827",115,6%,mean,90°F
2013-2017,"1,826",121,7%,mean,90°F
2018-2022,"1,826",160,9%,mean,90°F
