year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MD_median_annual_temperature,76.20,76.30,77.50,78.00,76.40,76.40,77.10,76.70,77.60,76.15,77.00,78.00,78.40,77.00,77.60,77.20,76.00,74.95,75.70,77.50,78.90,76.40,76.60,75.80,76.40,75.95,77.60,76.60,76.70,76.80,77.80,76.80,78.90,77.80,77.30,77.80,79.30,79.30,78.20,78.30
MD_median_annual_heatindex,76.70,76.80,78.00,78.60,76.90,76.80,77.60,77.20,78.20,76.60,77.50,78.60,79.00,77.50,78.20,77.80,76.40,75.40,76.20,78.00,79.50,76.90,77.20,76.30,76.90,76.40,78.10,77.10,77.20,77.30,78.40,77.30,79.50,78.40,77.90,78.40,79.90,80.00,78.80,78.90
MD_deviation_temperature,-1.00,-0.90,0.30,0.80,-0.80,-0.80,-0.10,-0.50,0.40,-1.05,-0.20,0.80,1.20,-0.20,0.40,0.00,-1.20,-2.25,-1.50,0.30,1.70,-0.80,-0.60,-1.40,-0.80,-1.25,0.40,-0.60,-0.50,-0.40,0.60,-0.40,1.70,0.60,0.10,0.60,2.10,2.10,1.00,1.10
MD_deviation_heatindex,-1.00,-0.90,0.30,0.90,-0.80,-0.90,-0.10,-0.50,0.50,-1.10,-0.20,0.90,1.30,-0.20,0.50,0.10,-1.30,-2.30,-1.50,0.30,1.80,-0.80,-0.50,-1.40,-0.80,-1.30,0.40,-0.60,-0.50,-0.40,0.70,-0.40,1.80,0.70,0.20,0.70,2.20,2.30,1.10,1.20
FL_median_annual_temperature,71.14,71.40,73.86,72.86,70.24,70.30,72.16,72.47,73.88,70.95,70.96,73.38,73.34,71.37,72.15,73.04,73.39,70.51,71.16,74.58,73.47,71.98,70.46,71.71,72.15,71.41,72.35,70.25,71.59,73.16,71.83,70.70,74.84,73.14,72.90,73.03,75.14,74.46,73.12,73.22
FL_median_annual_heatindex,71.20,71.60,74.10,73.10,70.30,70.40,72.30,72.70,74.20,71.10,71.10,73.70,73.60,71.50,72.40,73.30,73.60,70.60,71.30,74.90,73.70,72.20,70.60,71.80,72.20,71.50,72.60,70.30,71.70,73.40,72.10,70.90,75.30,73.40,73.20,73.40,75.50,74.80,73.40,73.50
FL_deviation_temperature,-1.29,-1.03,1.43,0.43,-2.19,-2.13,-0.27,0.04,1.45,-1.48,-1.47,0.95,0.92,-1.06,-0.28,0.61,0.96,-1.92,-1.27,2.15,1.04,-0.44,-1.97,-0.72,-0.28,-1.02,-0.08,-2.18,-0.84,0.73,-0.60,-1.73,2.41,0.71,0.47,0.60,2.71,2.03,0.69,0.79
FL_deviation_heatindex,-1.40,-1.00,1.50,0.50,-2.30,-2.20,-0.30,0.10,1.60,-1.50,-1.50,1.10,1.00,-1.10,-0.20,0.70,1.00,-2.00,-1.30,2.30,1.10,-0.40,-2.00,-0.80,-0.40,-1.10,0.00,-2.30,-0.90,0.80,-0.50,-1.70,2.70,0.80,0.60,0.80,2.90,2.20,0.80,0.90
