label,total_days,value,actual
1983-1987,1826,557,31%
1988-1992,1827,669,37%
1993-1997,1826,673,37%
1998-2002,1826,654,36%
2003-2007,1826,703,38%
2008-2012,1827,662,36%
2013-2017,1826,675,37%
2018-2022,1826,719,39%
