label,total_days,value,actual
1983-1987,1826,178,10%
1988-1992,1827,211,12%
1993-1997,1826,270,15%
1998-2002,1826,237,13%
2003-2007,1826,324,18%
2008-2012,1827,339,19%
2013-2017,1826,381,21%
2018-2022,1826,482,26%
